Adresa;Adresa interní;Městská část;GPS lat;GPS lon;vyska;Typ zdroje;Systém;Popis
Hodonínská 25;PKK3 Hodonínsk.25;Komárov;49.1774997;16.6228178;198.1;PK;K3HodMT;Hodoninská Měření
Hodonínská 25;PKK3 Hodonínsk.25;Komárov;49.1774997;16.6228178;198.1;PK;HodPS1MT;Hodoni.2,3,7,11,15,17,21
Hodonínská 25;PKK3 Hodonínsk.25;Komárov;49.1774997;16.6228178;198.1;PK;HodPS2MT;Za Mostem 2
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;VS6HoKOT;Kotle VS6 Hochmanova
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;VS6HoSTR;Stroj. VS6 Hochmanova
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;VS6HoMT;Měření VS6 Hochmanova
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;VS6HoPS1;PDS Molákova 1-7,9
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;VS6HoPS2;Mol.11,13,15,17,19,21,23
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;VS6HoPS3;PDS Hochm.2,4,6,Molák.
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;HoPS1MT;Měř. Molákova 1-7,9
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;HoPS2MT;Mol.11,13,15,17,19,21,23
Hochmanova 8;VS6 Hochmanova;Líšeň;49.2118408;16.6792244;339.1;HV;HoPS3MT;Měř.Hochm.2,4,6,Molákova
Horácké náměstí 1;PKKR7 Horácké nám.;Řečkovice;49.2472886;16.5838092;261.2;PK;K7HoNKOT;Kotle KR7 Horácké n.
Horácké náměstí 1;PKKR7 Horácké nám.;Řečkovice;49.2472886;16.5838092;261.2;PK;K7HoNSTR;Strojovna KR7 Horácké n.
Horní 30;PK Horní 30;Štýřice;49.1786450;16.5921439;223.9;HV;PKHorKOT;Kotle PK Horní
Hrázka 12;KM C Hrázka 12;Medlánky;49.2461525;16.5716742;274.0;PK;KMCNaSTR;KM C Hrázka 12
Hrázka 12;KM C Hrázka 12;Medlánky;49.2461525;16.5716742;274.0;PK;KMCNaMT;Měření KM C Hrázka 12
Hrázka 20;KM D Hrázka 20;Medlánky;49.2454631;16.5723222;270.4;PK;KMDHrSTR;KM D Hrázka20
Hrázka 20;KM D Hrázka 20;Medlánky;49.2454631;16.5723222;270.4;PK;KMDHrMT;Měření KM D Hrázka20
Hrázka 30;KM E Hrázka 30;Medlánky;49.2449067;16.5730256;267.7;PK;KMEHrSTR;KM E Hrázka30
Hrázka 30;KM E Hrázka 30;Medlánky;49.2449067;16.5730256;267.7;PK;KMEHrMT;Měření KM E Hrázka30
Hrázka 4;KM F Hrázka 40;Medlánky;49.2444039;16.5737617;267.3;PK;KMFHrSTR;KM F Hrázka40
Hrázka 4;KM F Hrázka 40;Medlánky;49.2444039;16.5737617;267.3;PK;KMFHrMT;Měření KM F Hrázka40
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusKot;VS Hůskova kotelna
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusStr;VS Hůskova strojovna
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusKon;VS Hůskova kondenz.
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusPS1;PDS Kneslova 6 - 28
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusPS2;PDS Hůskova 6,12
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusPS3;PDS Cornovova 1 - 60
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusPS4;PDS Krausova 1,4,7,10
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusPS5;PDS Olomoucka 152,156
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;VSHusPS6;PDS Turgenevova 2b,4
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;HusPS1MT;Měření Kneslova 6 - 28
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;HusPS2MT;Měření Hůskova 6,12
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;HusPS3MT;Měření Cornovova 1 - 60
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;HusPS4MT;Měřen
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;HusPS5MT;
Húskova 4;VS Húskova 4;Černovice;49.1850942;16.6405103;206.1;PV;HusPS6MT;
Chaloupeckého náměstí 1;VS Chaloupeck.n.1;Královo Pole;49.2118917;16.5998550;228.1;HV;VChN1Str;Strojovna VS Chaloup.n.1
Chaloupeckého náměstí 1;VS Chaloupeck.n.1;Královo Pole;49.2118917;16.5998550;228.1;HV;VSChN1MT;Měření VS Chaloup.n.1
Chlupova 2;VS Chlupova 2;Královo Pole;49.2114683;16.5947206;239.8;HV;VChl2Str;Strojovna VS Chlupova 2
Chlupova 2;VS Chlupova 2;Královo Pole;49.2114683;16.5947206;239.8;HV;VSChl2MT;Měření VS Chlupova 2
Chlupova 4-6;VS Chlupova 4;Královo Pole;49.2118064;16.5945914;240.5;HV;VChl4Str;Strojovna VS Chlupova 4
Chlupova 4-6;VS Chlupova 4;Královo Pole;49.2118064;16.5945914;240.5;HV;VSChl4MT;Měření VS Chlupova 4
Chlupova 5;VS Chlupova 1-7;Královo Pole;49.2114033;16.5942183;241.0;HV;VChl5Str;Strojovna VS Chlupova 5
Chlupova 5;VS Chlupova 1-7;Královo Pole;49.2114033;16.5942183;241.0;HV;VSChl5MT;Měření VS Chlupova 5
Ibsenova 2;HO9 Ibsenova 2;Lesná;49.8635411;18.5414436;237.9;HV;HO9IbSTR;Stroj. HO9 Ibsenova 2
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;K19IrKOT;Kotle K19 Irkutská
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;K19IrSTR;Strojovna K19 Irkutská
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;K19IrMT;Měření K19 Irkutská
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;PdsIrku2;Pds Irkutská 2
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;PdsIrku3;Pds Irkutská 3
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;PdsBos17;Pds Bosonožská 17
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;PdsSeva1;Pds Sevastopolská 1
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;PdsKry15;Pds Krymská 15
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;IrPS1MT;Měření Irkutská 1-8
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;IrPS2MT;Měření Kyjevská 13-17
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;IrPS3MT;Měření Krymská 5-15
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;IrPS4MT;Měření Bosonožská 11-17
Irkutská 2a;PK K19 Irkutská;Lískovec;49.1675425;16.5500519;236.2;PK;IrPS5MT;Měření Sevastopol.
Janošíkova 41;PKD Janošíkova 41;Chrlice;49.1288400;16.6517494;195.5;PK;D_JanKOT;D Jánošíkova kotle
